IC Run #,RI23 ID #,Sample type,Site,Date,Time,Timezone,Date analyzed at Perdrial lab,Notes,Check on RI23 ID #,
20,RI23-1002,Grab/Isco,Hungerford,2/9/2023,16:00,EST,3/26/2024,,RI23_1002,
21,RI23-1003,Grab/Isco,Hungerford,2/9/2023,22:00,EST,3/26/2024,,RI23_1003,
22,RI23-1004,Grab/Isco,Hungerford,2/10/2023,4:00,EST,3/26/2024,,RI23_1004,
23,RI23-1005,Grab/Isco,Hungerford,2/10/2023,10:00,EST,3/26/2024,,RI23_1005,
24,RI23-1006,Grab/Isco,Wade,2/10/2023,13:00,EST,3/26/2024,,RI23_1006,
25,RI23-1007,Grab/Isco,Hungerford,2/10/2023,16:00,EST,3/26/2024,,RI23_1007,
26,RI23-1008,Grab/Isco,Hungerford,2/11/2023,12:30,EST,3/26/2024,,RI23_1008,
27,RI23-1009,Grab/Isco,Wade,2/15/2023,15:00,EST,3/26/2024,,RI23_1009,
28,RI23-1010,Grab/Isco,Wade,2/15/2023,19:00,EST,3/26/2024,,RI23_1010,
29,RI23-1011,Grab/Isco,Wade,2/15/2023,23:00,EST,3/26/2024,,RI23_1011,
30,RI23-1012,Grab/Isco,Wade,2/16/2023,3:00,EST,3/26/2024,,RI23_1012,
31,RI23-1013,Grab/Isco,Wade,2/16/2023,7:00,EST,3/26/2024,,RI23_1013,
32,RI23-1014,Grab/Isco,Wade,2/16/2023,11:00,EST,3/26/2024,,RI23_1014,
33,RI23-1025,Grab/Isco,Wade,2/15/2023,12:00,EST,NA,2024-10-08 MED I couldnt find this sample,RI23_1025,
34,RI23-1026,Grab/Isco,Hungerford,2/15/2023,14:00,EST,9/3/2024,,RI23_1026,
35,RI23-1027,Grab/Isco,Hungerford,2/16/2023,10:30,EST,9/3/2024,,RI23_1027,
36,RI23-1028,Grab/Isco,Wade,2/16/2023,14:00,EST,9/3/2024,,RI23_1028,
37,RI23-1028,Grab/Isco,Wade,2/16/2023,14:00,EST,9/3/2024,Duplicate?,RI23_1028,
38,RI23-1029,Grab/Isco,Wade,2/16/2023,20:00,EST,9/3/2024,,RI23_1029,
39,RI23-1030,Grab/Isco,Wade,2/17/2023,2:00,EST,9/3/2024,,RI23_1030,
40,RI23-1031,Grab/Isco,Wade,2/17/2023,8:00,EST,9/3/2024,,RI23_1031,
41,RI23-1032,Grab/Isco,Wade,2/17/2023,11:30,EST,9/3/2024,,RI23_1032,
42,RI23-1033,Grab/Isco,Hungerford,2/17/2023,13:30,EST,9/3/2024,,RI23_1033,
43,RI23-1034,Grab/Isco,Wade,3/22/2023,13:15,EDT,9/3/2024,,RI23_1034,
44,RI23-1035,Grab/Isco,Hungerford,3/22/2023,15:00,EDT,9/3/2024,,RI23_1035,
45,RI23-1036,Grab/Isco,Hungerford,3/22/2023,18:00,EDT,9/3/2024,,RI23_1036,
46,RI23-1037,Grab/Isco,Hungerford,3/23/2023,0:00,EDT,9/3/2024,,RI23_1037,
47,RI23-1038,Grab/Isco,Hungerford,3/23/2023,6:00,EDT,9/3/2024,,RI23_1038,
48,RI23-1039,Grab/Isco,Wade,3/22/2023,18:00,EDT,9/3/2024,,RI23_1039,
49,RI23-1040,Grab/Isco,Wade,3/23/2023,0:00,EDT,9/3/2024,,RI23_1040,
50,RI23-1041,Grab/Isco,Wade,3/23/2023,6:00,EDT,9/3/2024,,RI23_1041,
51,RI23-1042,Grab/Isco,Hungerford,3/23/2023,12:00,EDT,9/3/2024,,RI23_1042,
52,RI23-1043,Grab/Isco,Hungerford,3/23/2023,18:00,EDT,9/3/2024,,RI23_1043,
53,RI23-1044,Grab/Isco,Hungerford,3/24/2023,0:00,EDT,9/3/2024,,RI23_1044,
54,RI23-1045,Grab/Isco,Hungerford,3/24/2023,6:00,EDT,9/3/2024,,RI23_1045,
55,RI23-1046,Grab/Isco,Hungerford,3/24/2023,12:00,EDT,9/17/2024,,RI23_1046,
56,RI23-1047,Grab/Isco,Hungerford,3/24/2023,15:45,EDT,9/17/2024,,RI23_1047,
57,RI23-1048,Grab/Isco,Wade,4/6/2023,12:00,EDT,9/17/2024,,RI23_1048,
58,RI23-1049,Grab/Isco,Wade,4/7/2023,0:00,EDT,9/17/2024,,RI23_1049,
59,RI23-1050,Grab/Isco,Wade,4/7/2023,6:00,EDT,9/17/2024,,RI23_1050,
60,RI23-1051,Grab/Isco,Wade,4/7/2023,12:00,EDT,9/17/2024,,RI23_1051,
61,RI23-1052,Grab/Isco,Wade,4/7/2023,17:00,EDT,9/17/2024,,RI23_1052,
62,RI23-1053,Isco,Hungerford,3/24/2023,18:00,EDT,9/17/2024,,RI23_1053,
63,RI23-1055,Grab/Isco,Wade,03/23/2023,12:00,EDT,9/17/2024,,,
64,RI23-1056,Grab/Isco,Wade,03/23/2023,18:00,EDT,9/17/2024,,,
65,RI23-1057,Grab/Isco,Wade,03/24/2023,0:00,EDT,9/17/2024,,,
66,RI23-1058,Grab/Isco,Wade,3/24/2023,6:00,EDT,9/17/2024,,RI23_1058,
67,RI23-1059,Grab/Isco,Wade,3/24/2023,12:00,EDT,9/17/2024,,RI23_1059,
68,RI23-1060,Grab/Isco,Wade,03/28/2023,12:00,EDT,9/17/2024,,,
69,RI23-1061,SML,Hungerford,03/28/2023,12:00,EDT,9/17/2024,,,
70,RI23-1062,Grab/Isco,,,,,9/17/2024,,,
71,RI23-1063,SML,Wade,03/28/2023,12:00,EDT,9/17/2024,,RI23-1063,
72,RI23-1064,Grab/Isco,Wade,3/31/2023,8:00,EDT,9/17/2024,,RI23_1064,
73,RI23-1065,Grab/Isco,Wade,3/31/2023,14:00,EDT,9/17/2024,,RI23_1065,
74,RI23-1066,Grab/Isco,Wade,3/31/2023,20:00,EDT,9/17/2024,,RI23_1066,
75,RI23-1067,Grab/Isco,Wade,4/1/2023,2:00,EDT,9/17/2024,,RI23_1067,
76,RI23-1068,Grab/Isco,Wade,4/1/2023,8:00,EDT,9/17/2024,,RI23_1068,
77,RI23-1069,Grab/Isco,Wade,4/1/2023,14:00,EDT,9/17/2024,,RI23_1069,
78,RI23-1070,Grab/Isco,Wade,4/1/2023,20:00,EDT,9/17/2024,,RI23_1070,
79,RI23-1071,Grab/Isco,Wade,4/2/2023,2:00,EDT,9/17/2024,,RI23_1071,
80,RI23-1072,Grab/Isco,Wade,4/2/2023,8:00,EDT,9/17/2024,,RI23_1072,
81,RI23-1073,Grab/Isco,Wade,4/2/2023,14:00,EDT,9/17/2024,,RI23_1073,
82,RI23-1074,Grab/Isco,Wade,4/2/2023,20:00,EDT,9/17/2024,,RI23_1074,
83,RI23-1074,Grab/Isco,Wade,4/2/2023,20:00,EDT,9/17/2024,Duplicate?,,
84,RI23-1075,Grab/Isco,Wade,4/3/2023,2:00,EDT,9/17/2024,,RI23_1075,
85,RI23-1076,Grab/Isco,Hungerford,,,EDT,9/17/2024,MED - no date and time, it's a GRAB sample per RI_2022-2023_sbss_202404_edited by_SV$RI23_sample type inventory; says 'missing info' in RI23_Data_Compile.xlsx,RI23_1076
86,RI23-1077,Grab/Isco,Wade,4/3/2023,14:00,EDT,9/17/2024,,RI23_1077,
87,RI23-1078,Grab/Isco,Wade,4/3/2023,22:00,EDT,9/17/2024,,RI23_1078,
88,RI23-1079,Grab/Isco,Wade,4/4/2023,6:00,EDT,9/24/2024,,RI23_1079,
89,RI23-1080,Grab/Isco,Wade,4/4/2023,14:00,EDT,9/24/2024,,RI23_1080,
90,RI23-1081,Grab/Isco,Wade,4/5/2023,14:00,EDT,9/24/2024,,RI23_1081,
91,RI23-1082,Grab/Isco,Wade,4/5/2023,22:00,EDT,9/24/2024,,RI23_1082,
92,RI23-1083,Grab/Isco,Wade,4/6/2023,6:00,EDT,9/24/2024,,RI23_1083,
93,RI23-1085,Grab/Isco,Hungerford,3/31/2023,14:00,EDT,9/24/2024,,RI23_1085,
94,RI23-1086,Grab/Isco,Hungerford,3/31/2023,20:00,EDT,9/24/2024,,RI23_1086,
95,RI23-1087,Grab/Isco,Hungerford,4/1/2023,2:00,EDT,9/24/2024,,RI23_1087,
96,RI23-1088,Grab/Isco,Hungerford,4/1/2023,8:00,EDT,9/24/2024,,RI23_1088,
97,RI23-1089,Grab/Isco,Hungerford,4/1/2023,14:00,EDT,9/24/2024,,RI23_1089,
98,RI23-1090,Grab/Isco,Hungerford,4/1/2023,20:00,EDT,9/24/2024,,RI23_1090,
99,RI23-1091,Grab/Isco,Hungerford,4/2/2023,2:00,EDT,9/24/2024,,RI23_1091,
100,RI23-1092,Grab/Isco,Hungerford,4/2/2023,8:00,EDT,9/24/2024,,RI23_1092,
101,RI23-1093,Grab/Isco,Wade,4/10/2023,6:00,EDT,9/24/2024,,RI23_1093,
102,RI23-1094,Grab/Isco,Wade,4/10/2023,12:00,EDT,9/24/2024,,RI23_1094,
103,RI23-1095,Grab/Isco,Wade,4/10/2023,18:00,EDT,9/24/2024,,RI23_1095,
104,RI23-1096,Grab/Isco,Wade,4/11/2023,0:00,EDT,9/24/2024,,RI23_1096,
105,RI23-1097,Grab/Isco,Wade,4/11/2023,6:00,EDT,9/24/2024,,RI23_1097,
106,RI23-1098,Grab/Isco,Wade,04/11/2023,12:00,EDT,9/24/2024,,RI23_1098,
107,RI23-1099,Grab/Isco,Hungerford,4/11/2023,13:30,EDT,9/24/2024,,RI23_1099,
108,RI23-1101,Grab/Isco,Wade,4/12/2023,0:00,EDT,9/24/2024,,RI23_1101,
109,RI23-1102,Grab/Isco,Wade,4/12/2023,8:00,EDT,9/24/2024,,RI23_1102,
