Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes,TOC run date,TOC mg_L,TOC notes
RI23-5003,Hungerford,02/15/2023,12:00,Soil water lysimeter dry,Endmember,dry site,HF_dry_lysimtr_021523,-0.002137737,-0.017859021,0.002659136,-0.007235935,4.330232872,0.274426664,0.014075412,3.549444341,2.993341772,-0.021851568,26.67682151,,5.625607653,,,65.63708637,1.535731233,17.22829595,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-79.175,-11.536,Dry lys,03/01/2023,6,
RI23-5004,Wade,02/15/2023,12:00,Snow,Endmember,,WD_snow_021523,-0.023113687,-0.015549119,-0.000157782,0.00247053,-0.148588935,-0.030691816,-0.050474293,0.010751893,-0.13914081,-0.013698645,0.111409852,,1.7332,,,2.5428,,3.4481,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,,,,03/01/2023,0.19,
RI23-5005,Wade,02/15/2023,12:00,Snowmelt lysimeter,Endmember,,WD_snow_lysmtr_021523,-0.007382155,0.002961813,0.000567562,-0.001676279,0.18544433,0.483999523,-0.016724087,0.210295175,0.221386184,0.017610823,0.764609235,,1.822968034,0.80210356,,2.45898375,1.597084061,3.54367992,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-109.383,-15.682,Dry lys,,,
RI23-1012,Wade,02/16/2023,3:00,Grab/Isco,Stream,need to verify type,,0.009929402,-0.005332153,-0.000275806,-0.008026478,1.009174369,0.025900186,-0.045117738,0.366981591,0.169350796,0.017792738,2.816430098,,1.847234257,,,2.335431894,1.596832912,7.121828352,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-81.829,-12.071,,03/01/2023,2.43,
RI23-1013,Wade,02/16/2023,7:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.082762811,1.825491289,,,2.380357969,1.599586788,6.799209333,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-83.418,-12.43,,03/01/2023,2.37,
RI23-1014,Wade,02/16/2023,11:00,Grab/Isco,Stream,need to verify type,,0.006730345,-0.013612768,-0.000215375,-0.007393023,0.987823986,0.011488276,-0.045223492,0.370514021,0.185172843,0.030815664,2.791172314,,1.826587993,,1.564433136,2.427248866,1.600097968,6.946511437,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-82.863,-12.35,,03/01/2023,2.32,
RI23-1027,Hungerford,02/16/2023,10:30,Grab/Isco,Stream,need to verify type,,0.090109524,0.009449742,0.000991606,0.026253344,2.347823331,3.006947951,0.024201031,5.451364482,12.16684538,0.003050048,32.10081128,0.1184,23.8431,0.4163,,15.7319,1.613,17.4841,,,-74.385,-11.008,,03/01/2023,5.45,
RI23-1028,Wade,02/16/2023,14:00,Grab/Isco,Stream,need to verify type,,0.000784369,-0.000537032,-0.00133881,-0.004806816,0.103439309,0.239877847,-0.023028727,0.36110916,0.201492815,0.012107569,2.673882905,,0.948,0.4168,,2.0177,,3.3358,,,-82.344,-12.322,,04/26/2023,1.67,
RI23-1029,Wade,02/16/2023,20:00,Grab/Isco,Stream,need to verify type,,-0.012384247,-0.008662746,-0.000313138,-0.011986366,0.227336303,0.037369845,-0.049723206,0.354200029,0.188313346,-0.011236236,2.688623583,,0.939,,,1.6933,,3.3321,,,-82.319,-12.33,,04/19/2023,1.49,
RI23-1030,Wade,02/17/2023,2:00,Grab/Isco,Stream,need to verify type,,0.000791566,0.002196834,-0.000602125,-0.006399335,0.20634927,0.24821908,-0.015888774,0.389891339,0.249628212,0.010405868,2.853083243,,0.9883,,,1.7558,,3.4961,,,-81.816,-12.347,,04/26/2023,1.63,
RI23-1031,Wade,02/17/2023,8:00,Grab/Isco,Stream,need to verify type,,-0.011173113,-0.015727172,0.000136194,-0.013420533,0.229726952,0.022915938,-0.048673187,0.379438037,0.192295611,-0.012059859,2.819701444,,0.977,,,1.7252,1.1813,3.6009,,,-81.36,-12.34,,04/26/2023,1.55,
RI23-1032,Wade,02/17/2023,11:30,Baseflow,Stream,need to verify type,,-0.001828615,-0.002236324,-0.00145954,-0.004198752,0.635231917,0.232023301,-0.015775932,0.386433348,0.203993237,0.010952677,2.853683177,,1.0107,,,1.7933,1.1908,3.6512,,,-80.657,-12.075,,04/26/2023,1.68,the average of two measurements std only 0.04 though
RI23-1033,Hungerford,02/17/2023,13:30,Grab/Isco,Stream,need to verify type,,-0.002685641,-0.012631921,0.000548769,-0.014051836,1.915448603,2.611894333,0.002842557,5.969457735,13.58502882,-0.04164915,23.75394204,0.0997,28.1505,,,17.758,1.2211,20.3349,,,-72.18,-10.942,,04/26/2023,4.15,
ISO23-159,Hungerford,02/22/2023,01:15,Grab,Endmember,,,,,,,,,,,,,,,,,,,,,,,-68.854,-9.698,,,,
ISO23-160,Wade,02/22/2023,11:30,Grab,Endmember,,,,,,,,,,,,,,,,,,,,,,,-78.887,-11.042,,,,
RI23-1001,Hungerford,02/9/2023,13:40,Groundwater,Endmember,Pre-event baseflow - labled GW for now,,0.07070274,0.065629733,0.000484385,0.03255743,3.058230455,2.587608353,0.034568565,8.758447425,20.9942659,-0.083201787,57.31774663,,36.24354745,,,13.79784939,,50.59468528,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-66.095,-9.827,,03/01/2023,26.08,
RI23-1002,Hungerford,02/9/2023,16:00,Grab/Isco,Stream,need to verify type,,0.06642303,0.068312251,-0.000212807,0.02399678,3.025307521,2.42615384,0.028481244,8.901892075,22.65424121,-0.085777963,64.01730457,0.001488139,36.58841901,0.793567672,,13.73243499,,48.18684922,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-66.847,-9.862,,03/01/2023,5.08,
RI23-1003,Hungerford,02/9/2023,22:00,Grab/Isco,Stream,need to verify type,,0.082406714,0.052983714,-0.0000716263,-0.007114412,2.817823734,2.326500989,0.030483384,8.663945967,21.47346407,-0.051498708,52.87541848,0.039951549,34.27060158,0.793551784,,12.65017776,,45.78276962,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-67.317,-9.8,,03/01/2023,5.79,
RI23-5006,Wade,03/01/2023,12:00,Groundwater,Endmember,well - High Pond. TOC log says collected 3/19/2023,High_Pond_031023 is it march 1st or 10th,-0.008999159,-0.003347686,-0.000665278,-0.000761201,1.883644279,0.28598758,-0.019510879,0.425312813,0.717066335,0.00428736,6.847131002,,1.752880691,,,1.717066079,,10.92170103,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-76.119,-11.57,Grab - MED is it gw though?,04/19/2023,0.07,
RI23-5018,Wade,03/10/2023,12:00,Groundwater,Endmember,need to verify bear pond see ICP log,Bear_Pond_031023,-0.006055875,-0.003026873,-0.001228727,-0.005499911,1.689151505,0.181631256,-0.01777371,0.831397948,0.451746721,0.015540279,5.788055452,,1.752880691,,,,,,,,-72.071,-11.116,Grab - MED is it gw though?,04/26/2023,0.52,
RI23-5007,Hungerford,03/16/2023,12:00,Soil water lysimeter dry,Endmember,dry site,HF_lysmtr_031623,0.001259766,-0.003616,0.002715958,0.070260979,5.670058776,0.398317765,0.053965725,3.957421357,3.429970389,-0.003272506,28.61340414,0.180018148,5.501723609,0.790967663,1.560382427,54.19291003,1.54591444,20.19954881,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-81.472,-12.284,Dry lys,04/26/2023,6,
RI23-5008,Hungerford,03/16/2023,12:00,Groundwater,Endmember,well,Mark_well_031623,-0.017935714,0.045289908,0.035849962,0.029241819,7.648743775,4.438201407,0.354392502,26.4284451,22.02279844,-0.131898869,105.9045741,0.015458651,60.24839626,0.857020045,1.605056166,3.983550327,1.58724521,83.82824622,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-72.633,-10.806,Grab - MED is it gw though?,04/26/2023,0.95,
RI23-5009,Wade,03/16/2023,12:00,Soil water lysimeter dry,Endmember,dry site,WD_lysmtr_031623,0.10096043,0.00522485,0.001129239,0.108481069,0.60254712,0.49268935,-0.046166885,0.334881921,-0.21894769,0.415918292,0.536311389,,1.905036884,,,3.712501258,1.597330099,4.732060342,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-89.934,-13.33,Dry lys,04/26/2023,5.64,
RI23-1034,Wade,03/22/2023,13:15,Groundwater,Endmember,Pre-event baseflow - labled GW for now,,0.014531273,-0.000324202,-0.001263254,-0.001188526,1.74915951,0.259249227,-0.012961239,0.522326467,0.278623854,0.029131806,3.704749272,,1.0499,0.4131,,1.6848,1.1272,4.6922,,,-81.364,-12.059,,04/26/2023,2.23,
RI23-1035,Hungerford,03/22/2023,15:00,Baseflow,Stream,Pre-event,,0.080686091,0.039445908,0.000206012,0.002716037,2.304313123,3.343251836,0.054388067,8.181779886,19.24564446,-0.025073046,51.81826641,0.1418,44.9281,,,25.7819,,26.9727,,,-75.462,-11.153,,04/26/2023,7.16,
RI23-1036,Hungerford,03/22/2023,18:00,Grab/Isco,Stream,need to verify type,,0.097364433,0.04733585,0.001176209,-0.003253536,2.156339613,3.387667644,0.071506444,8.108993502,17.96043032,-0.020081799,53.38764974,0.1346,42.1843,0.4199,,26.0839,,28.041,,,-75.114,-11.054,,04/26/2023,4.84,
RI23-1039,Wade,03/22/2023,18:00,Grab/Isco,Stream,need to verify type,,0.01434973,0.001554612,-0.001470024,-0.006262339,1.53378395,0.26225548,-0.020857543,0.530668398,0.35279127,0.024614429,3.795325214,,1.0946,0.4109,,2.095,1.1925,4.8232,,,-81.686,-12.15,,04/26/2023,1.19,
RI23-1037,Hungerford,03/23/2023,0:00,Grab/Isco,Stream,need to verify type,,0.05168443,0.017541903,0.001691888,-0.0037134,1.833135983,4.077833323,0.078774057,6.636894845,14.88451896,-0.001283258,36.18492152,0.1559,36.2323,,,21.5788,,22.3777,,,-78.838,-11.486,,04/26/2023,4.85,
RI23-1038,Hungerford,03/23/2023,6:00,Grab/Isco,Stream,need to verify type,,0.050025954,0.012383668,0.001511116,-0.011124411,1.721791096,3.701270296,0.050420067,6.429298798,15.46132564,-0.044759612,45.1969623,0.1805,34.931,,,24.4426,1.4309,22.0813,,,-78.782,-11.52,,04/26/2023,4.72,
RI23-1040,Wade,03/23/2023,0:00,Grab/Isco,Stream,need to verify type,,0.009755471,-0.014517352,-0.000110494,-0.011427705,1.401155993,0.042075515,-0.039138052,0.497981403,0.254348942,0.00221919,3.653853345,,1.0481,0.4229,,1.5836,1.1677,4.5754,,,-82.125,-12.072,,04/26/2023,1.19,
RI23-1041,Wade,03/23/2023,6:00,Grab/Isco,Stream,need to verify type,,0.014134657,-0.000954055,-0.001495632,-0.000056552,1.355116177,0.24881316,-0.024675823,0.491121858,0.332086947,0.034904637,3.670326488,,1.1105,0.4141,,1.9689,1.1799,4.6306,,,-83.331,-12.424,,04/26/2023,1.15,
RI23-1042,Hungerford,03/23/2023,12:00,Grab/Isco,Stream,need to verify type,,0.044605128,0.005232181,0.001626633,-0.013575373,2.144593006,3.416709951,0.032595869,7.01920048,15.73226655,-0.049189437,43.32303494,0.1572,36.9917,0.4177,,30.0148,,25.6052,,,-76.786,-11.499,,04/26/2023,4.64,
RI23-1043,Hungerford,03/23/2023,18:00,Grab/Isco,Stream,need to verify type,,0.067621089,0.010400639,0.001621233,-0.00461134,1.63269185,4.396179204,0.104960561,5.794659491,12.96350478,-0.001346427,39.77601383,0.1934,27.1734,0.416,,21.4181,1.12,17.6114,,,-75.68,-11.365,,04/26/2023,5.11,
RI23-1055,Wade,03/23/2023,12:00,Grab/Isco,Stream,need to verify type,,0.01253869,0.001448071,-0.000742203,-0.005961197,1.177932292,0.264622518,-0.013326071,0.486021284,0.328262324,0.027616549,3.594777784,,1.3288,0.4165,,1.6891,,3.7466,,,,,,04/26/2023,1.29,
RI23-1056,Wade,03/23/2023,18:00,Grab/Isco,Stream,need to verify type,,0.007047411,-0.014984713,0.000316516,-0.013384375,0.930913924,0.049481287,-0.040661211,0.387519407,0.180927947,0.009696412,2.973540113,,1.3778,0.4202,,1.7603,1.7177,3.3289,,,,,,04/26/2023,1.7,
RI23-1044,Hungerford,03/24/2023,0:00,Grab/Isco,Stream,need to verify type,,0.076560816,0.002230693,0.002964441,0.02396996,1.47904981,4.09790161,0.081200549,4.04188093,9.480232287,0.000372539,25.59383409,0.2425,19.4525,0.4193,,18.4915,1.1933,12.7867,,,-76.035,-11.01,,04/19/2023,5.06,
RI23-1045,Hungerford,03/24/2023,6:00,Grab/Isco,Stream,need to verify type,,0.08077854,0.016478641,0.001618506,-0.004675616,1.93749579,3.521961346,0.081382157,4.512128753,9.880117915,0.010276739,32.494865,,15.6507,0.4176,,14.982,1.6902,10.9762,,,-76.547,-11.181,,04/26/2023,5.24,
RI23-1046,Hungerford,03/24/2023,12:00,Grab/Isco,Stream,need to verify type,,0.072228406,0.016830778,0.001902061,-0.010791868,1.908819986,2.96392154,0.040785095,4.837448353,11.00248854,-0.019364421,34.33453007,,18.1573,0.4196,,17.189,1.9329,12.9516,,,-76.522,-11.338,,04/26/2023,5.02,
RI23-1047,Hungerford,03/24/2023,15:45,Grab/Isco,Stream,need to verify type,,0.075957227,0.021075545,0.000526145,-0.007462477,1.94896771,3.364936999,0.072485834,5.403369305,12.22325547,0.007976315,32.69219822,,19.1642,0.4227,,17.7692,,13.8515,,,-76.275,-11.287,,04/26/2023,5.08,
RI23-1053,Hungerford,03/24/2023,18:00,Precip,Endmember,MED initially thought grab sample but changed on 2025-05-21 to precip based on low values. Same sample as ISO23-158.,,0.004163568,-0.001038763,-0.001625643,-0.006980813,0.959055888,0.25321913,-0.011485446,0.325280784,0.109130862,0.05407208,2.338133113,,1.2725,0.4264,,2.517,1.7481,2.6654,,same sample as ISO23-158,-85.24,-12.526,,04/26/2023,5.11,
RI23-1057,Wade,03/24/2023,0:00,Grab/Isco,Stream,need to verify type,,0.015100987,-0.006556195,0.000489817,-0.012557292,1.188987643,0.080056933,-0.039448254,0.342530147,0.127048403,0.049592922,2.620107065,,1.3097,0.4191,,1.9646,1.7182,2.8216,,,,,,04/19/2023,2.04,
RI23-1058,Wade,03/24/2023,6:00,Grab/Isco,Stream,need to verify type,,0.008623872,-0.015350804,0.000290349,-0.012742366,1.357753527,0.044343844,-0.048191982,0.332811768,0.0883524799999999,0.053961335,2.57239535,,1.3006,0.4151,,2.0998,1.6985,2.9672,,,-88.665,-13.215,,04/26/2023,2.17,
RI23-1059,Wade,03/24/2023,12:00,Grab/Isco,Stream,need to verify type,,0.001170876,-0.015894935,-0.000212895,-0.014159941,1.347407362,0.067134475,-0.050713494,0.462989455,0.240782963,0.001660447,3.396424541,,1.3079,0.4255,,2.122,1.6925,3.0719,time is arbitrary,,-87.016,-13.038,,04/26/2023,1.82,
RI23-1060,Wade,03/24/2023,17:30,Grab/Isco,Stream,need to verify type,,0.013802513,0.000112332,-0.001346024,-0.006235277,1.325875362,0.251727248,-0.017647591,0.395477258,0.219419627,0.059802742,2.948626832,,1.3193,0.4146,,2.149,1.6943,3.1954,,,,,,04/26/2023,1.66,
RI23-1054,Hungerford,03/25/2023,10:00,Isco/grab,Stream,need to verify type,,,,,,,,,,,,,,,,,,,,,,-74.938,-10.741,,04/26/2023,4.43,
RI23-1061,Hungerford,03/28/2023,12:00,Snowmelt lysimeter,Endmember,,,-0.005760092,0.007980837,0.002071911,0.02139118,1.150758114,0.919783579,-0.011040281,1.137487804,3.130392871,0.009517143,4.337064961,0.0474,2.1995,0.4463,,2.5785,,1.3314,,,-75.524,-11.193,,04/26/2023,2.83,
RI23-1063,Wade,03/28/2023,12:00,Snowmelt lysimeter,Endmember,,,,,,,,,,,,,,,1.2092,0.4249,,2.03,,1.3209,time is arbitrary,,-95.26,-14.233,,04/26/2023,2.24,
RI23-1064,Wade,03/31/2023,8:00,Grab/Isco,Stream,need to verify type,,0.005210988,-0.001478595,-0.001026708,-0.006295331,1.42321651,0.258879473,-0.025024288,0.52096552,0.336197387,0.023384405,3.82448653,,1.3522,,,1.8115,,4.105,,,-83.194,-11.926,,04/19/2023,0.97,
RI23-1065,Wade,03/31/2023,14:00,Grab/Isco,Stream,need to verify type,,0.004469733,-0.001766673,-0.001270362,-0.008097558,1.174642847,0.234849335,-0.024427364,0.462208242,0.278733034,0.020830139,3.338583978,,1.3297,0.4124,0.7234,1.8783,1.7157,3.8227,,,-82.174,-11.965,,04/26/2023,1.18,
RI23-1066,Wade,03/31/2023,20:00,Grab/Isco,Stream,need to verify type,,0.015543524,-0.0000998386,-0.000995024,-0.008376434,1.37680569,0.26625641,-0.016471063,0.510926567,0.313138951,0.02444571,3.609337254,,1.3794,0.417,,1.8045,,3.9186,,,-82.71,-12.178,,04/26/2023,1.15,
RI23-1085,Hungerford,03/31/2023,14:00,Baseflow,Stream,Pre-event,,0.060061922,0.017483861,0.000458481,-0.009881379,1.922939017,1.907550724,0.020223105,6.349480788,15.15258709,-0.061110235,44.48903756,0.0186,26.0618,,,12.1689,2.411,17.2364,,,-73.371,-11.14,,04/26/2023,7.77,
RI23-1086,Hungerford,03/31/2023,20:00,Grab/Isco,Stream,need to verify type,,0.068862419,0.016706546,0.000210625,-0.012719974,1.800990001,1.855667937,0.011242127,6.264499671,15.19304238,-0.042525829,38.66925221,,25.8124,0.581,,12.3425,2.4068,17.219,,,-73.302,-10.999,,04/19/2023,5.5,
RI23-5010,Wade,04/03/2023,12:00,Precip,Endmember,,WD_precip_040323,-0.022544739,-0.01448515,0.000587156,-0.010980137,-0.144439162,-0.027036361,-0.052428058,0.017803848,-0.30920825,-0.013028316,0.249147493,0.046401456,1.65031151,,,2.216317094,,3.514948659,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-87.824,-13.232,,04/26/2023,0.64,
RI23-1067,Wade,04/1/2023,2:00,Grab/Isco,Stream,need to verify type,,0.005751086,-0.001594801,-0.000460474,-0.008715731,1.556659486,0.26567925,-0.027139243,0.494133521,0.317578665,0.02795452,3.675777001,,1.3385,0.4164,,1.8294,1.6977,3.9802,,,-82.631,-12.148,,04/26/2023,1.11,
RI23-1068,Wade,04/1/2023,8:00,Grab/Isco,Stream,need to verify type,,0.007588714,0.001398657,-0.000993251,-0.007581166,1.402101091,0.258908585,-0.018561022,0.522499145,0.31417008,0.021494264,3.749329624,,1.331,0.4326,,1.8344,1.7474,3.9442,,,-81.928,-12.094,,04/19/2023,1,
RI23-1069,Wade,04/1/2023,14:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,1.3533,0.4237,,1.7832,1.7005,3.7645,,,-82.383,-12.466,,04/26/2023,1.3,
RI23-1070,Wade,04/1/2023,20:00,Grab/Isco,Stream,need to verify type,,0.02173889,0.000697066,-0.001176202,-0.008137154,1.010726775,0.269050581,-0.01891766,0.360545045,0.17608113,0.046167978,2.817128657,,1.2732,0.4219,,1.6588,,3.1688,,,-86.996,-13.057,,04/26/2023,1.92,
RI23-1087,Hungerford,04/1/2023,2:00,Grab/Isco,Stream,need to verify type,,0.073389681,0.033095115,-0.000588859,-0.005107211,1.717275929,2.125236892,0.046927467,6.874166194,15.48239014,-0.02589841,37.27422707,,26.5332,0.5784,,12.5094,2.4881,17.9355,,,-73.286,-10.867,,04/26/2023,4.13,
RI23-1088,Hungerford,04/1/2023,8:00,Grab/Isco,Stream,need to verify type,,0.070637424,0.020082108,0.00050659,-0.012105197,1.691012978,2.037879893,0.014196681,6.473914354,16.00412892,-0.048246078,42.02868815,,26.9716,0.5792,0.8873,12.1715,2.4636,17.6921,,,-73.13,-10.889,,04/26/2023,4.09,
RI23-1089,Hungerford,04/1/2023,14:00,Grab/Isco,Stream,need to verify type,,0.09371576,0.022349993,0.000771412,0.012555797,1.92348851,3.179864224,0.085974481,6.329468583,14.72267556,0.036606383,38.94465603,0.0105,25.3363,,,9.2361,2.469,15.9516,,,-71.721,-10.743,,04/26/2023,5.48,
RI23-1090,Hungerford,04/1/2023,20:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.0095,24.71,,,7.9897,2.4559,14.2168,,,-71.931,-10.744,,04/26/2023,6.08,
RI23-1093,Wade,04/10/2023,6:00,Grab/Isco,Stream,need to verify type,,0.00863596,-0.000980345,-0.000832858,-0.003494147,1.150045414,0.241614625,-0.021311297,0.364991639,0.19274105,0.043509883,2.786990661,,1.4636,,,2.2376,,3.1972,,,-84.793,-12.564,,04/19/2023,1.86,
