Site,Pit,Date in,Date out,Month,NH4 ppm,NH4(mg N/L) ,vol of KCl (L) ,NH4 (mg N) ,Number of resin strips ,NH4 (mg N/ resin strip) ,area of resin strip (cm2),NH4 (mg N/ cm2) ,deployment (days),N adsorbed (mg N cm-2 day-1) ,N adsorbed (ug N cm-2 day-1) ,N adsorbed (ug N cm-2 week-1) ,N adsorbed (ug N cm-2 30 days-1) 
Hungerford Wet,2,12/16/2021,2/15/2022,,9.85,9.85,0.04,0.39,1,0.39,11.4,0.03456,61,0.000567,0.57,3.97,17
Hungerford Wet,3,12/16/2021,2/15/2022,,0.22,0.22,0.04,0.01,1,0.01,11.4,0.00076,61,0.000012,0.01,0.09,0.37
Hungerford Wet,5,12/16/2021,2/15/2022,,0.25,0.25,0.04,0.01,1,0.01,11.4,0.00086,61,0.000014,0.01,0.1,0.42
Wade Wet,1,2/15/2022,3/17/2022,,0.12,0.12,0.04,0,1,0,11.4,0.00043,30,0.000014,0.01,0.1,0.43
Wade Wet,5,2/15/2022,3/17/2022,,0.42,0.42,0.04,0.02,1,0.02,11.4,0.00148,30,0.000049,0.05,0.35,1.48
Wade Wet,6,2/15/2022,3/17/2022,,0.32,0.32,0.04,0.01,1,0.01,11.4,0.00113,30,0.000038,0.04,0.26,1.13
Wade Wet,7,2/15/2022,3/17/2022,,0.12,0.12,0.04,0,1,0,11.4,0.00041,30,0.000014,0.01,0.1,0.41
Wade Wet,8,2/15/2022,3/17/2022,,0.71,0.71,0.04,0.03,1,0.03,11.4,0.0025,30,0.000083,0.08,0.58,2.5
Wade Dry,1,2/15/2022,3/17/2022,,0.64,0.64,0.04,0.03,1,0.03,11.4,0.00225,30,0.000075,0.07,0.52,2.25
Wade Dry,2,2/15/2022,3/17/2022,,0.1,0.1,0.04,0,1,0,11.4,0.00035,30,0.000012,0.01,0.08,0.35
Wade Dry,3,2/15/2022,3/17/2022,,0.21,0.21,0.04,0.01,1,0.01,11.4,0.00074,30,0.000025,0.02,0.17,0.74
Wade Dry,4,2/15/2022,3/17/2022,,0.64,0.64,0.04,0.03,1,0.03,11.4,0.00224,30,0.000075,0.07,0.52,2.24
Wade Dry,5,2/15/2022,3/17/2022,,0.28,0.28,0.04,0.01,1,0.01,11.4,0.00097,30,0.000032,0.03,0.23,0.97
Hungerford Wet,2,2/15/2022,3/17/2022,,0.91,0.91,0.04,0.04,1,0.04,11.4,0.00318,30,0.000106,0.11,0.74,3.18
Hungerford Wet,3,2/15/2022,3/17/2022,,0.41,0.41,0.04,0.02,1,0.02,11.4,0.00145,30,0.000048,0.05,0.34,1.45
Wade Wet,1,3/17/2022,4/13/2022,,0.09,0.09,0.04,0,1,0,11.4,0.00031,27,0.000012,0.01,0.08,0.35
Wade Wet,5,3/17/2022,4/13/2022,,0.24,0.24,0.04,0.01,1,0.01,11.4,0.00083,27,0.000031,0.03,0.22,0.93
Wade Wet,6,3/17/2022,4/13/2022,,0.98,0.98,0.04,0.04,1,0.04,11.4,0.00344,27,0.000127,0.13,0.89,3.82
Wade Wet,7,3/17/2022,4/13/2022,,0.93,0.93,0.04,0.04,1,0.04,11.4,0.00325,27,0.00012,0.12,0.84,3.61
Wade Wet,8,3/17/2022,4/13/2022,,0.65,0.65,0.04,0.03,1,0.03,11.4,0.00227,27,0.000084,0.08,0.59,2.52
Wade Dry,1,3/17/2022,4/13/2022,,0.37,0.37,0.04,0.01,1,0.01,11.4,0.0013,27,0.000048,0.05,0.34,1.44
Wade Dry,2,3/17/2022,4/13/2022,,0.06,0.06,0.04,0,1,0,11.4,0.00022,27,0.000008,0.01,0.06,0.24
Wade Dry,3,3/17/2022,4/13/2022,,0.26,0.26,0.04,0.01,1,0.01,11.4,0.00093,27,0.000034,0.03,0.24,1.03
Wade Dry,4,3/17/2022,4/13/2022,,0.28,0.28,0.04,0.01,1,0.01,11.4,0.00099,27,0.000037,0.04,0.26,1.1
Wade Dry,5,3/17/2022,4/13/2022,,0.14,0.14,0.04,0.01,1,0.01,11.4,0.0005,27,0.000019,0.02,0.13,0.56
Hungerford Dry,2,12/16/2021,4/13/2022,,9.08,9.08,0.04,0.36,1,0.36,11.4,0.03186,118,0.00027,0.27,1.89,8.1
Hungerford Wet,1,3/17/2022,4/13/2022,,3.8,3.8,0.04,0.15,1,0.15,11.4,0.01333,27,0.000494,0.49,3.46,14.81
Hungerford Wet,2,3/17/2022,4/13/2022,,1.06,1.06,0.04,0.04,1,0.04,11.4,0.00373,27,0.000138,0.14,0.97,4.15
Hungerford Wet,3,3/17/2022,4/13/2022,,0.9,0.9,0.04,0.04,1,0.04,11.4,0.00317,27,0.000117,0.12,0.82,3.52
Hungerford Wet,5,2/15/2022,4/13/2022,,0.69,0.69,0.04,0.03,1,0.03,11.4,0.00242,57,0.000042,0.04,0.3,1.27
Wade Wet,1,4/13/2022,5/18/2022,,0.12,0.12,0.06,0.01,1,0.01,11.4,0.00061,35,0.000017,0.02,0.12,0.52
Wade Wet,5,4/13/2022,5/18/2022,,0.89,0.89,0.06,0.05,1,0.05,11.4,0.0047,35,0.000134,0.13,0.94,4.03
Wade Wet,6,4/13/2022,5/18/2022,,2.94,2.94,0.06,0.18,1,0.18,11.4,0.01549,35,0.000443,0.44,3.1,13.28
Wade Wet,7,4/13/2022,5/18/2022,,0.06,0.06,0.06,0,1,0,11.4,0.00033,35,0.000009,0.01,0.07,0.28
Wade Wet,8,4/13/2022,5/18/2022,,0.27,0.27,0.06,0.02,1,0.02,11.4,0.00142,35,0.000041,0.04,0.28,1.22
Wade Dry,1,4/13/2022,5/18/2022,,0.19,0.19,0.06,0.01,1,0.01,11.4,0.00098,35,0.000028,0.03,0.2,0.84
Wade Dry,2,4/13/2022,5/18/2022,,0.12,0.12,0.06,0.01,1,0.01,11.4,0.00063,35,0.000018,0.02,0.13,0.54
Wade Dry,3,4/13/2022,5/18/2022,,0.46,0.46,0.06,0.03,1,0.03,11.4,0.00242,35,0.000069,0.07,0.48,2.07
Wade Dry,4,4/13/2022,5/18/2022,,0.41,0.41,0.06,0.02,1,0.02,11.4,0.00217,35,0.000062,0.06,0.43,1.86
Wade Dry,5,4/13/2022,5/18/2022,,0.23,0.23,0.06,0.01,1,0.01,11.4,0.0012,35,0.000034,0.03,0.24,1.03
Hungerford Dry,2,4/13/2022,5/18/2022,,1.41,1.41,0.06,0.08,1,0.08,11.4,0.00742,35,0.000212,0.21,1.48,6.36
Hungerford Wet,1,4/13/2022,5/18/2022,,2.76,2.76,0.06,0.17,1,0.17,11.4,0.0145,35,0.000414,0.41,2.9,12.43
Hungerford Wet,2,4/13/2022,5/18/2022,,1.44,1.44,0.06,0.09,1,0.09,11.4,0.00759,35,0.000217,0.22,1.52,6.51
Hungerford Wet,3,4/13/2022,5/18/2022,,1.62,1.62,0.06,0.1,1,0.1,11.4,0.00852,35,0.000243,0.24,1.7,7.3
Hungerford Wet,5,4/13/2022,5/18/2022,,0.28,0.28,0.06,0.02,1,0.02,11.4,0.00148,35,0.000042,0.04,0.3,1.26
Wade Wet,1,5/18/2022,6/15/2022,,0.07,0.07,0.06,0,1,0,11.4,0.00039,28,0.000014,0.01,0.1,0.42
Wade Wet,5,5/18/2022,6/15/2022,,3.55,3.55,0.06,0.21,1,0.21,11.4,0.01866,28,0.000666,0.67,4.67,19.99
Wade Wet,6,5/18/2022,6/15/2022,,7.11,7.11,0.06,0.43,1,0.43,11.4,0.03744,28,0.001337,1.34,9.36,40.11
Wade Wet,7,5/18/2022,6/15/2022,,2.01,2.01,0.06,0.12,1,0.12,11.4,0.0106,28,0.000378,0.38,2.65,11.35
Wade Wet,8,5/18/2022,6/15/2022,,4.97,4.97,0.06,0.3,1,0.3,11.4,0.02615,28,0.000934,0.93,6.54,28.02
Wade Dry,1,5/18/2022,6/15/2022,,0.21,0.21,0.06,0.01,1,0.01,11.4,0.00111,28,0.000039,0.04,0.28,1.18
Wade Dry,2,5/18/2022,6/15/2022,,0.19,0.19,0.06,0.01,1,0.01,11.4,0.00101,28,0.000036,0.04,0.25,1.08
Wade Dry,3,5/18/2022,6/15/2022,,0.78,0.78,0.06,0.05,1,0.05,11.4,0.00408,28,0.000146,0.15,1.02,4.37
Wade Dry,4,5/18/2022,6/15/2022,,0.11,0.11,0.06,0.01,1,0.01,11.4,0.00058,28,0.000021,0.02,0.15,0.62
Wade Dry,5,5/18/2022,6/15/2022,,2.15,2.15,0.06,0.13,1,0.13,11.4,0.01129,28,0.000403,0.4,2.82,12.1
Hungerford Dry,1,5/18/2022,6/15/2022,,0.2,0.2,0.06,0.01,1,0.01,11.4,0.00104,28,0.000037,0.04,0.26,1.11
Hungerford Dry,2,5/18/2022,6/15/2022,,1.93,1.93,0.06,0.12,1,0.12,11.4,0.01015,28,0.000363,0.36,2.54,10.88
Hungerford Wet,1,5/18/2022,6/15/2022,,1.23,1.23,0.06,0.07,1,0.07,11.4,0.00646,28,0.000231,0.23,1.62,6.93
Hungerford Wet,2,5/18/2022,6/15/2022,,3.02,3.02,0.06,0.18,1,0.18,11.4,0.01592,28,0.000569,0.57,3.98,17.06
Hungerford Wet,3,5/18/2022,6/15/2022,,0.73,0.73,0.06,0.04,1,0.04,11.4,0.00382,28,0.000136,0.14,0.95,4.09
Hungerford Wet,5,5/18/2022,6/15/2022,,2.15,2.15,0.06,0.13,1,0.13,11.4,0.01131,28,0.000404,0.4,2.83,12.12
Wade Wet,1,6/15/2022,7/15/2022,,0.24,0.24,0.06,0.01,1,0.01,11.4,0.00129,30,0.000043,0.04,0.3,1.29
Wade Wet,5,6/15/2022,7/15/2022,,2.75,2.75,0.06,0.16,1,0.16,11.4,0.01445,30,0.000482,0.48,3.37,14.45
Wade Wet,6,6/15/2022,7/15/2022,,5.16,5.16,0.06,0.31,1,0.31,11.4,0.02718,30,0.000906,0.91,6.34,27.18
Wade Wet,7,6/15/2022,7/15/2022,,0.28,0.28,0.06,0.02,1,0.02,11.4,0.00146,30,0.000049,0.05,0.34,1.46
Wade Wet,8,6/15/2022,7/15/2022,,0.85,0.85,0.06,0.05,1,0.05,11.4,0.00446,30,0.000149,0.15,1.04,4.46
Wade Dry,1,6/15/2022,7/15/2022,,0.78,0.78,0.06,0.05,1,0.05,11.4,0.00412,30,0.000137,0.14,0.96,4.12
Wade Dry,2,6/15/2022,7/15/2022,,1.88,1.88,0.06,0.11,1,0.11,11.4,0.00991,30,0.00033,0.33,2.31,9.91
Wade Dry,3,6/15/2022,7/15/2022,,1.22,1.22,0.06,0.07,1,0.07,11.4,0.00644,30,0.000215,0.21,1.5,6.44
Wade Dry,4,6/15/2022,7/15/2022,,0.72,0.72,0.06,0.04,1,0.04,11.4,0.00381,30,0.000127,0.13,0.89,3.81
Wade Dry,5,6/15/2022,7/15/2022,,0.67,0.67,0.06,0.04,1,0.04,11.4,0.00353,30,0.000118,0.12,0.82,3.53
Hungerford Dry,1,6/15/2022,7/15/2022,,0.19,0.19,0.06,0.01,1,0.01,11.4,0.00101,30,0.000034,0.03,0.24,1.01
Hungerford Dry,2,6/15/2022,7/15/2022,,0.11,0.11,0.06,0.01,1,0.01,11.4,0.0006,30,0.00002,0.02,0.14,0.6
Hungerford Wet,1,6/15/2022,7/15/2022,,1.26,1.26,0.06,0.08,1,0.08,11.4,0.00665,30,0.000222,0.22,1.55,6.65
Hungerford Wet,2,6/15/2022,7/15/2022,,1.62,1.62,0.06,0.1,1,0.1,11.4,0.00851,30,0.000284,0.28,1.99,8.51
Hungerford Wet,3,6/15/2022,7/15/2022,,2.08,2.08,0.06,0.12,1,0.12,11.4,0.01094,30,0.000365,0.36,2.55,10.94
Hungerford Wet,5,6/15/2022,7/15/2022,,8.79,8.79,0.06,0.53,1,0.53,11.4,0.04625,30,0.001542,1.54,10.79,46.25
Wade Wet,1,7/15/2022,8/15/2022,,0.26,0.26,0.06,0.02,1,0.02,11.4,0.00135,31,0.000043,0.04,0.3,1.3
Wade Wet,5,7/15/2022,8/15/2022,,1.72,1.72,0.06,0.1,1,0.1,11.4,0.00904,31,0.000292,0.29,2.04,8.75
Wade Wet,6,7/15/2022,8/15/2022,,1.14,1.14,0.06,0.07,1,0.07,11.4,0.00602,31,0.000194,0.19,1.36,5.83
Wade Wet,7,7/15/2022,8/15/2022,,0.14,0.14,0.06,0.01,1,0.01,11.4,0.00073,31,0.000024,0.02,0.16,0.71
Wade Wet,8,7/15/2022,8/15/2022,,0.31,0.31,0.06,0.02,1,0.02,11.4,0.00161,31,0.000052,0.05,0.36,1.56
Wade Dry,2,7/15/2022,8/15/2022,,3.33,3.33,0.06,0.2,1,0.2,11.4,0.01755,31,0.000566,0.57,3.96,16.98
Wade Dry,3,7/15/2022,8/15/2022,,9.02,9.02,0.06,0.54,1,0.54,11.4,0.04747,31,0.001531,1.53,10.72,45.94
Wade Dry,4,7/15/2022,8/15/2022,,0.43,0.43,0.06,0.03,1,0.03,11.4,0.00228,31,0.000074,0.07,0.52,2.21
Wade Dry,5,7/15/2022,8/15/2022,,0.92,0.92,0.06,0.06,1,0.06,11.4,0.00486,31,0.000157,0.16,1.1,4.7
Hungerford Dry,1,7/15/2022,8/15/2022,,2.59,2.59,0.06,0.16,1,0.16,11.4,0.01364,31,0.00044,0.44,3.08,13.2
Hungerford Dry,2,7/15/2022,8/15/2022,,0.66,0.66,0.06,0.04,1,0.04,11.4,0.00345,31,0.000111,0.11,0.78,3.34
Hungerford Wet,1,7/15/2022,8/15/2022,,1.41,1.41,0.06,0.08,1,0.08,11.4,0.00742,31,0.000239,0.24,1.68,7.18
Hungerford Wet,2,7/15/2022,8/15/2022,,0.2,0.2,0.06,0.01,1,0.01,11.4,0.00106,31,0.000034,0.03,0.24,1.03
Hungerford Wet,3,7/15/2022,8/15/2022,,9.54,9.54,0.06,0.57,1,0.57,11.4,0.05019,31,0.001619,1.62,11.33,48.57
Hungerford Wet,5,7/15/2022,8/15/2022,,50.57,50.57,0.06,3.03,1,3.03,11.4,0.26616,31,0.008586,8.59,60.1,257.57
Wade Wet,1,8/15/2022,9/16/2022,,1.13,1.13,0.06,0.07,1,0.07,11.4,0.00595,32,0.000186,0.19,1.3,5.58
Wade Wet,5,8/15/2022,9/16/2022,,1.5,1.5,0.06,0.09,1,0.09,11.4,0.00789,32,0.000247,0.25,1.73,7.4
Wade Wet,6,8/15/2022,9/16/2022,,1.95,1.95,0.06,0.12,1,0.12,11.4,0.01024,32,0.00032,0.32,2.24,9.6
Wade Wet,7,8/15/2022,9/16/2022,,70.88,70.88,0.06,4.25,1,4.25,11.4,0.37308,32,0.011659,11.66,81.61,349.76
Wade Wet,8,8/15/2022,9/16/2022,,0.36,0.36,0.06,0.02,1,0.02,11.4,0.00189,32,0.000059,0.06,0.41,1.77
Wade Dry,1,8/15/2022,9/16/2022,,0.72,0.72,0.06,0.04,1,0.04,11.4,0.0038,32,0.000119,0.12,0.83,3.56
Wade Dry,2,8/15/2022,9/16/2022,,0.54,0.54,0.06,0.03,1,0.03,11.4,0.00285,32,0.000089,0.09,0.62,2.67
Wade Dry,3,8/15/2022,9/16/2022,,1.13,1.13,0.06,0.07,1,0.07,11.4,0.00594,32,0.000186,0.19,1.3,5.57
Wade Dry,4,8/15/2022,9/16/2022,,0.23,0.23,0.06,0.01,1,0.01,11.4,0.00122,32,0.000038,0.04,0.27,1.14
Wade Dry,5,8/15/2022,9/16/2022,,4.55,4.55,0.06,0.27,1,0.27,11.4,0.02397,32,0.000749,0.75,5.24,22.47
Hungerford Dry,2,8/15/2022,9/16/2022,,0.59,0.59,0.06,0.04,1,0.04,11.4,0.0031,32,0.000097,0.1,0.68,2.91
Hungerford Wet,1,8/15/2022,9/16/2022,,4.91,4.91,0.06,0.29,1,0.29,11.4,0.02585,32,0.000808,0.81,5.65,24.23
Hungerford Wet,2,8/15/2022,9/16/2022,,0.67,0.67,0.06,0.04,1,0.04,11.4,0.00355,32,0.000111,0.11,0.78,3.33
Hungerford Wet,3,8/15/2022,9/16/2022,,11.9,11.9,0.06,0.71,1,0.71,11.4,0.06263,32,0.001957,1.96,13.7,58.72
Hungerford Wet,5,8/15/2022,9/16/2022,,5.17,5.17,0.06,0.31,1,0.31,11.4,0.02721,32,0.00085,0.85,5.95,25.51
Wade Wet,1,9/16/2022,10/18/2022,,0.3,0.3,0.06,0.02,1,0.02,11.4,0.00156,32,0.000049,0.05,0.34,1.46
Wade Wet,5,9/16/2022,10/18/2022,,0.91,0.91,0.06,0.05,1,0.05,11.4,0.00478,32,0.000149,0.15,1.05,4.48
Wade Wet,6,9/16/2022,10/18/2022,,1.61,1.61,0.06,0.1,1,0.1,11.4,0.0085,32,0.000265,0.27,1.86,7.96
Wade Wet,7,9/16/2022,10/18/2022,,1.44,1.44,0.06,0.09,1,0.09,11.4,0.00759,32,0.000237,0.24,1.66,7.11
Wade Wet,8,9/16/2022,10/18/2022,,0.42,0.42,0.06,0.03,1,0.03,11.4,0.00221,32,0.000069,0.07,0.48,2.07
Wade Dry,1,9/16/2022,10/18/2022,,0.54,0.54,0.06,0.03,1,0.03,11.4,0.00282,32,0.000088,0.09,0.62,2.64
Wade Dry,2,9/16/2022,10/18/2022,,0.12,0.12,0.06,0.01,1,0.01,11.4,0.00065,32,0.00002,0.02,0.14,0.61
Wade Dry,3,9/16/2022,10/18/2022,,0.61,0.61,0.06,0.04,1,0.04,11.4,0.00321,32,0.0001,0.1,0.7,3
Wade Dry,4,9/16/2022,10/18/2022,,0.06,0.06,0.06,0,1,0,11.4,0.00032,32,0.00001,0.01,0.07,0.3
Wade Dry,5,9/16/2022,10/18/2022,,1.6,1.6,0.06,0.1,1,0.1,11.4,0.00842,32,0.000263,0.26,1.84,7.89
Hungerford Dry,1,9/16/2022,10/18/2022,,0.47,0.47,0.06,0.03,1,0.03,11.4,0.00246,32,0.000077,0.08,0.54,2.31
Hungerford Dry,2,9/16/2022,10/18/2022,,2.62,2.62,0.06,0.16,1,0.16,11.4,0.01377,32,0.00043,0.43,3.01,12.91
Hungerford Wet,1,9/16/2022,10/18/2022,,1.75,1.75,0.06,0.1,1,0.1,11.4,0.0092,32,0.000287,0.29,2.01,8.62
Hungerford Wet,2,9/16/2022,10/18/2022,,5.49,5.49,0.06,0.33,1,0.33,11.4,0.02889,32,0.000903,0.9,6.32,27.08
Hungerford Wet,3,9/16/2022,10/18/2022,,1.2,1.2,0.06,0.07,1,0.07,11.4,0.00632,32,0.000198,0.2,1.38,5.93
Hungerford Wet,5,9/16/2022,10/18/2022,,1.71,1.71,0.06,0.1,1,0.1,11.4,0.00901,32,0.000282,0.28,1.97,8.45
Wade Wet,1,10/18/2022,11/18/2022,,1.01,1.01,0.06,0.06,1,0.06,11.4,0.00532,31,0.000171,0.17,1.2,5.14
Wade Wet,5,10/18/2022,11/18/2022,,1.04,1.04,0.06,0.06,1,0.06,11.4,0.00548,31,0.000177,0.18,1.24,5.3
Wade Wet,6,10/18/2022,11/18/2022,,0.8,0.8,0.06,0.05,1,0.05,11.4,0.00421,31,0.000136,0.14,0.95,4.07
Wade Wet,7,10/18/2022,11/18/2022,,0.28,0.28,0.06,0.02,1,0.02,11.4,0.00147,31,0.000047,0.05,0.33,1.42
Wade Dry,1,10/18/2022,11/18/2022,,0.69,0.69,0.06,0.04,1,0.04,11.4,0.00364,31,0.000117,0.12,0.82,3.52
Wade Dry,2,10/18/2022,11/18/2022,,0.24,0.24,0.06,0.01,1,0.01,11.4,0.00128,31,0.000041,0.04,0.29,1.24
Wade Dry,3,10/18/2022,11/18/2022,,0.37,0.37,0.06,0.02,1,0.02,11.4,0.00196,31,0.000063,0.06,0.44,1.89
Wade Dry,4,10/18/2022,11/18/2022,,0.32,0.32,0.06,0.02,1,0.02,11.4,0.00171,31,0.000055,0.06,0.39,1.65
Wade Dry,5,10/18/2022,11/18/2022,,0.97,0.97,0.06,0.06,1,0.06,11.4,0.00513,31,0.000165,0.17,1.16,4.96
Hungerford Dry,1,10/18/2022,11/18/2022,,1.06,1.06,0.06,0.06,1,0.06,11.4,0.00555,31,0.000179,0.18,1.25,5.38
Hungerford Dry,2,10/18/2022,11/18/2022,,0.85,0.85,0.06,0.05,1,0.05,11.4,0.00449,31,0.000145,0.14,1.01,4.35
Hungerford Wet,1,10/18/2022,11/18/2022,,0.51,0.51,0.06,0.03,1,0.03,11.4,0.00269,31,0.000087,0.09,0.61,2.61
Hungerford Wet,2,10/18/2022,11/18/2022,,0.99,0.99,0.06,0.06,1,0.06,11.4,0.00522,31,0.000168,0.17,1.18,5.05
Hungerford Wet,3,10/18/2022,11/18/2022,,3.31,3.31,0.06,0.2,1,0.2,11.4,0.01741,31,0.000562,0.56,3.93,16.85
Hungerford Wet,5,10/18/2022,11/18/2022,,1.35,1.35,0.06,0.08,1,0.08,11.4,0.00711,31,0.000229,0.23,1.61,6.88
Wade Wet,1,11/18/2022,1/11/2023,,0.59,0.59,0.06,0.04,1,0.04,11.4,0.00311,54,0.000058,0.06,0.4,1.73
Wade Wet,5,11/18/2022,1/11/2023,,0.92,0.92,0.06,0.06,1,0.06,11.4,0.00485,54,0.00009,0.09,0.63,2.69
Wade Wet,6,11/18/2022,1/11/2023,,1.4,1.4,0.06,0.08,1,0.08,11.4,0.00735,54,0.000136,0.14,0.95,4.09
Wade Wet,7,11/18/2022,1/11/2023,,1.07,1.07,0.06,0.06,1,0.06,11.4,0.00561,54,0.000104,0.1,0.73,3.12
Wade Wet,8,11/18/2022,1/11/2023,,0.22,0.22,0.06,0.01,1,0.01,11.4,0.00118,54,0.000022,0.02,0.15,0.66
Wade Dry,1,11/18/2022,1/11/2023,,6.32,6.32,0.06,0.38,1,0.38,11.4,0.03328,54,0.000616,0.62,4.31,18.49
Wade Dry,2,11/18/2022,1/11/2023,,0.19,0.19,0.06,0.01,1,0.01,11.4,0.001,54,0.000018,0.02,0.13,0.55
Wade Dry,3,11/18/2022,1/11/2023,,0.8,0.8,0.06,0.05,1,0.05,11.4,0.00421,54,0.000078,0.08,0.55,2.34
Wade Dry,4,11/18/2022,1/11/2023,,1.84,1.84,0.06,0.11,1,0.11,11.4,0.00968,54,0.000179,0.18,1.25,5.38
Wade Dry,5,11/18/2022,1/11/2023,,0.67,0.67,0.06,0.04,1,0.04,11.4,0.00352,54,0.000065,0.07,0.46,1.96
Hungerford Dry,1,11/18/2022,1/11/2023,,9.88,9.88,0.06,0.59,1,0.59,11.4,0.052,54,0.000963,0.96,6.74,28.89
Hungerford Wet,1,11/18/2022,1/11/2023,,1.27,1.27,0.06,0.08,1,0.08,11.4,0.00667,54,0.000124,0.12,0.86,3.71
Hungerford Wet,2,11/18/2022,1/11/2023,,0.72,0.72,0.06,0.04,1,0.04,11.4,0.00376,54,0.00007,0.07,0.49,2.09
Hungerford Wet,3,11/18/2022,1/11/2023,,1.41,1.41,0.06,0.08,1,0.08,11.4,0.0074,54,0.000137,0.14,0.96,4.11
Hungerford Wet,5,11/18/2022,1/11/2023,,7.04,7.04,0.06,0.42,1,0.42,11.4,0.03707,54,0.000687,0.69,4.81,20.6
Wade Wet,1,1/11/2023,2/15/2023,,0.4,0.4,0.06,0.02,1,0.02,11.4,0.00211,35,0.00006,0.06,0.42,1.81
Wade Wet,5,1/11/2023,2/15/2023,,0.4,0.4,0.06,0.02,1,0.02,11.4,0.00211,35,0.00006,0.06,0.42,1.81
Wade Wet,6,1/11/2023,2/15/2023,,0.85,0.85,0.06,0.05,1,0.05,11.4,0.00446,35,0.000127,0.13,0.89,3.82
Wade Wet,7,1/11/2023,2/15/2023,,0.9,0.9,0.06,0.05,1,0.05,11.4,0.00472,35,0.000135,0.13,0.94,4.04
